title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes
so long nerds,2022-07-01T01:29:02Z,UCFAiFyGs6oDiF1Nf-rRJpZA,Technoblade,20,2022-07-07T00:00:00Z,Minecraft|Technoblade|Technothepig|Hypixel,62773427,7310261,0
NCT 127 엔시티 127 '질주 (2 Baddies)' MV,2022-09-15T09:00:07Z,UCEf_Bc-KVd7onSeifS3py9g,SMTOWN,10,2022-09-21T00:00:00Z,nct 127|2 baddies|mv|full speed|nct|smtown|엔시티|엔시티 127|질주|뮤직비디오|뮤비|태일|태용|쟈니|유타|재현|도영|정우|마크|해찬|taeil|taeyong|johnny|yuta|jaehyun|doyoung|jungwoo|mark|haechan|챌린지|질주 챌린지|127 챌린지|댄스 챌린지|challenge|nct 127 challenge|2 baddies challenge|neo seoul|neo seoul challenge|youtube shorts|shorts,62755670,918552,0
tuzelity Gentlemen Shuffle Neon Mode  #tuzelity #shuffle,2021-09-05T08:11:54Z,UCyaAA1lTzjXItSd-SNC-eWg,Monster Dance Story ,22,2021-09-12T00:00:00Z,tuzelity Monster Neon Mode #tuzelity #shuffle|#InShot|#monster|#tiktok|#viral|#gabry ponte|#tuzelity|#spinnin records|monster|monsters|lyrics monster|monster lyrics|tuzelity shuffle|tuzelity dance|shuffle|tuzelity|tiktok dance compilation|tiktok dances 2021|tiktok dances|tiktok dance|tuzelity dance remix|tuzelity dance tik tok,62597535,2374584,115344
TWICE Alcohol-Free M/V,2021-06-09T08:58:12Z,UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,10,2021-06-13T00:00:00Z,TWICE|트와이스|taste of love|alcoholfree|alcoholfree mv|taste of love mv teaser|트와이스 알콜프리|알콜프리|알콜프리 뮤비|알콜프리뮤비|twice alcoholfree mv|twice alcohol free mv|twice alcohol free m/v|nayeon|jeongyeon|momo|sana|jihyo|mina|dahyun|chaeyoung|tzuyu|나연|정연|모모|사나|지효|미나|다현|채영|쯔위|테이스트오브러브|테오럽|테오럽뮤비|테오럽 트와이스 뮤비|트와이스 테오럽|알코올프리|알콜프리뮤비트와이스|jyp entertainment|jyp,62576210,2466782,50824
TWICE I CAN'T STOP ME M/V,2020-10-26T08:59:54Z,UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,10,2020-10-30T00:00:00Z,TWICE|트와이스|eyeswideopen mv|I cant stop me mv|icantstopme mv|twice I cant stop me mv|twice eyes wide open mv|twice eyes wide open music video|twice I cant stop me music video|twice music video I cant stop me|twice music video eyes wide open|twice 2nd full album|twice full album|아이즈와이드오픈|아이캔트스탑미|트와이스 아이즈와이드오픈|트와이스 아이캔트스탑미|트와이스 정규2집|트와이스 정규2집 아이즈와이드오픈|트와이스 정규 2집 아이캔트스탑미|아이즈와이드오픈 뮤비|아이캔트스탑미 뮤비,62467391,2727933,55017
(여자)아이들((G)I-DLE) - '퀸카 (Queencard)' Official Music Video,2023-05-15T09:00:04Z,UCritGVo7pLJLUS8wEu32vow,(G)I-DLE (여자)아이들 (Official YouTube Channel),10,2023-05-21T00:00:00Z,kpop|gidle|(여자)아이들|(G)I-DLE|IDLE|여자아이들|아이들|미연|민니|수진|소연|우기|슈화|MIYEON|MINNIE|SOOJIN|SOYEON|YUQI|SHUHUA|큐브|CUBE|미니 6집|I feel|퀸카|Queencard,62464928,1003959,0
Adele - Easy On Me (Official Video),2021-10-14T23:00:11Z,UComP_epzeKzvBX156r6pm1Q,AdeleVEVO,10,2021-10-17T00:00:00Z,There ain’t no gold|In this river|That I’ve been washing my hands in forever|I know there is hope|In these waters|But I can’t bring myself to swim|When I am drowning|In this silence baby let me in|Go easy on me baby|I was still a child|Didn’t get the chance to|Feel the world around me|I had no time to choose|What I chose to do|So go easy on me|There ain’t no room|For things to change|When we are both so deeply|Stuck|our,62332885,3117304,28162
I Survived 50 Hours In Antarctica,2022-12-24T20:59:59Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,24,2023-01-01T00:00:00Z,[None],62328694,3076770,0
Guess the sound challenge🎵 #shorts,2021-06-07T04:55:00Z,UCymK_3BWUcoYVVf5D_GmACQ,Tsuriki Show,23,2021-06-14T00:00:00Z,tsuriki show|vovanya|vova|anya|challenge,62325570,1704348,86532
"$1 vs $250,000,000 Private Island!",2024-01-27T17:00:00Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,24,2024-01-29T00:00:00Z,[None],62267702,2990057,0
Balloon Pop Racing Is INTENSE!,2021-11-28T22:53:39Z,UC5f5IV0Bf79YLp_p9nfInRA,How Ridiculous,17,2021-12-05T00:00:00Z,[None],62214169,1487382,103605
"Guess the face challenge, so fun! ! ! # Funny #Party Game Challenge #Family Game Challenge#shorts",2021-11-21T05:15:59Z,UC4lGgdCua7DgZ82fhgxQJ8Q,长沙一家人-  Funny family,22,2021-11-27T00:00:00Z,[None],62204735,2094482,128169
